Namespace(gpu='0,1,2,3', log_dir='/cluster/home/wueestm/laser/trained_models', its=900000, fov=(45.0, 135.0), fov2='45,135', dataset='zind', dataset_path='/cluster/project/cvg/data/zind/zind/ZInD', D=128, G=32, H=32, dist_max=10, V=16, Vr=64, disable_semantics=False, disable_pointnet=False)
{'Q': 100, 'Q_refine': 20, 'D': 128, 'G': 32, 'H': 32, 'dist_max': 10, 'Vr': 64, 'V': 16, 'disable_semantics': False, 'disable_pointnet': False, 'fov': (45.0, 135.0), 'view_type': 'pview'}
/cluster/project/cvg/data/zind/zind/ZInD
refiner_padding = circular
Before loading train dataloader.
654 samples loaded from <class 'dataset.zind_dataset.ZindDataset'> dataset. (is_training=True)
Before loading val dataloader.
91 samples loaded from <class 'dataset.zind_dataset.ZindDataset'> dataset. (is_training=False)
Dataloaders loaded.
step=200,  time=2.0min,  loss=1.699861
step=400,  time=4.0min,  loss=1.738971
step=600,  time=6.0min,  loss=1.523335
step=800,  time=7.9min,  loss=1.706948
step=1000,  time=9.9min,  loss=1.633864
step=1200,  time=11.9min,  loss=1.771598
step=1400,  time=13.9min,  loss=1.481151
step=1600,  time=15.8min,  loss=1.530578
step=1800,  time=17.9min,  loss=1.658676
step=2000,  time=19.8min,  loss=1.723959
step=2200,  time=21.8min,  loss=1.478384
step=2400,  time=23.8min,  loss=1.515861
step=2600,  time=25.8min,  loss=1.386937
step=2800,  time=27.7min,  loss=1.512656
step=3000,  time=29.7min,  loss=1.221427
step=3200,  time=31.7min,  loss=1.679236
step=3400,  time=33.7min,  loss=1.623039
step=3600,  time=35.7min,  loss=1.203338
step=3800,  time=37.7min,  loss=1.397789
step=4000,  time=39.7min,  loss=1.431749
step=4200,  time=41.6min,  loss=1.462049
step=4400,  time=43.6min,  loss=1.450844
step=4600,  time=45.6min,  loss=1.389753
step=4800,  time=47.6min,  loss=1.405117
step=5000,  time=49.6min,  loss=1.219238
step=5200,  time=51.6min,  loss=1.394659
step=5400,  time=53.5min,  loss=1.248840
step=5600,  time=55.5min,  loss=1.482807
step=5800,  time=57.5min,  loss=1.446651
step=6000,  time=59.5min,  loss=1.571227
step=6200,  time=61.4min,  loss=1.568495
step=6400,  time=63.4min,  loss=1.217859
step=6600,  time=65.4min,  loss=1.230375
step=6800,  time=67.3min,  loss=1.233888
step=7000,  time=69.4min,  loss=1.250390
step=7200,  time=71.3min,  loss=1.299047
step=7400,  time=73.3min,  loss=1.338089
step=7600,  time=75.3min,  loss=1.433163
step=7800,  time=77.3min,  loss=1.295058
step=8000,  time=79.3min,  loss=1.354479
step=8200,  time=81.3min,  loss=1.511226
step=8400,  time=83.2min,  loss=1.311471
step=8600,  time=85.2min,  loss=1.420811
step=8800,  time=87.2min,  loss=1.164170
step=9000,  time=89.2min,  loss=1.157435
step=9200,  time=91.2min,  loss=1.141819
step=9400,  time=93.2min,  loss=1.242724
step=9600,  time=95.1min,  loss=1.349285
step=9800,  time=97.1min,  loss=1.118723
step=10000,  time=99.1min,  loss=1.233748
step=10200,  time=101.1min,  loss=1.224051
step=10400,  time=103.1min,  loss=1.111076
step=10600,  time=105.0min,  loss=1.251281
step=10800,  time=107.0min,  loss=1.099219
step=11000,  time=109.0min,  loss=1.319399
step=11200,  time=111.0min,  loss=1.558908
step=11400,  time=112.9min,  loss=1.258226
step=11600,  time=115.0min,  loss=1.468243
step=11800,  time=116.9min,  loss=1.046386
step=12000,  time=118.9min,  loss=1.224992
step=12200,  time=120.9min,  loss=1.135480
step=12400,  time=122.9min,  loss=1.129418
step=12600,  time=124.8min,  loss=1.300886
step=12800,  time=126.8min,  loss=1.061533
step=13000,  time=128.8min,  loss=1.355930
step=13200,  time=130.7min,  loss=1.375502
step=13400,  time=132.7min,  loss=1.122505
step=13600,  time=134.7min,  loss=1.304916
step=13800,  time=136.7min,  loss=1.070227
step=14000,  time=138.7min,  loss=1.232935
step=14200,  time=140.7min,  loss=1.007815
step=14400,  time=142.6min,  loss=1.307132
step=14600,  time=144.6min,  loss=1.439023
step=14800,  time=146.6min,  loss=0.998774
step=15000,  time=148.6min,  loss=1.132021
step=15200,  time=150.6min,  loss=1.149642
step=15400,  time=152.6min,  loss=1.277402
step=15600,  time=154.5min,  loss=1.156534
step=15800,  time=156.6min,  loss=0.975391
step=16000,  time=158.5min,  loss=1.111700
step=16200,  time=160.5min,  loss=1.295148
step=16400,  time=162.5min,  loss=1.176845
step=16600,  time=164.4min,  loss=1.124411
step=16800,  time=166.5min,  loss=1.474842
step=17000,  time=168.4min,  loss=1.264490
step=17200,  time=170.4min,  loss=0.940325
step=17400,  time=172.4min,  loss=1.179139
step=17600,  time=174.4min,  loss=1.006986
step=17800,  time=176.3min,  loss=1.001245
step=18000,  time=178.4min,  loss=1.059151
step=18200,  time=180.3min,  loss=1.217832
step=18400,  time=182.3min,  loss=1.071538
step=18600,  time=184.3min,  loss=1.195345
